release_date,title,genre,region,want_to_see,url
2026-02-07,替身拳手,"['剧情', '动作', '运动']",['中国大陆'],6621,https://movie.douban.com/subject/35789791/
2026-02-14,爱乐之城,"['剧情', '爱情', '歌舞']",['美国'],319308,https://movie.douban.com/subject/25934014/
2026-02-14,营救汪星人,"['喜剧', '冒险']",['中国大陆'],12572,https://movie.douban.com/subject/26930565/
2026-02-14,藏地情书,"['剧情', '爱情']",['中国大陆'],7107,https://movie.douban.com/subject/25853741/
2026-02-14,喜欢上“欠欠”的你,"['剧情', '喜剧', '爱情']",['中国大陆'],1436,https://movie.douban.com/subject/36054516/
2026-02-14,只爱你,"['剧情', '爱情']",['中国大陆'],277,https://movie.douban.com/subject/36779597/
2026-02-14,遇见不同的遇见,"['剧情', '爱情']",['中国大陆'],85,https://movie.douban.com/subject/37395676/
2026-02-17,镖人：风起大漠,"['动作', '武侠', '古装']",['中国大陆'],23993,https://movie.douban.com/subject/36474027/
2026-02-17,惊蛰无声,"['剧情', '犯罪']",['中国大陆'],18525,https://movie.douban.com/subject/37242440/
2026-02-17,飞驰人生3,"['剧情', '喜剧', '运动']",['中国大陆'],11798,https://movie.douban.com/subject/37311135/
2026-02-17,星河入梦,"['科幻', '奇幻', '冒险']","['中国大陆', '中国香港']",8837,https://movie.douban.com/subject/36883105/
2026-02-17,熊猫计划之部落奇遇记,"['喜剧', '奇幻']",['中国大陆'],2558,https://movie.douban.com/subject/37211128/
2026-02-17,熊出没·年年有熊,"['喜剧', '动画', '奇幻']",['中国大陆'],2390,https://movie.douban.com/subject/37427493/
2026-02-19,重返·狼群,['纪录片'],['中国大陆'],51792,https://movie.douban.com/subject/26920269/
2026-03-06,暗黑新娘！,"['剧情', '犯罪', '惊悚']",['美国'],9893,https://movie.douban.com/subject/36503073/
2026-03-13,呼啸山庄,"['剧情', '爱情']","['英国', '美国']",17737,https://movie.douban.com/subject/36963690/
2026-03-14,奇迹梦之队,"['喜剧', '动画', '冒险']",['美国'],1355,https://movie.douban.com/subject/36910970/
2026-03-14,上学路上之山海无阻,['纪录片'],['中国大陆'],207,https://movie.douban.com/subject/36650727/
2026-03-99,穿普拉达的女王,"['剧情', '喜剧']","['美国', '法国']",117284,https://movie.douban.com/subject/1482072/
2026-03-99,河狸变身计划,"['喜剧', '科幻', '动画']",['美国'],5051,https://movie.douban.com/subject/36999793/
2026-04-03,北回归线以北,['剧情'],['中国大陆'],483,https://movie.douban.com/subject/36941236/
2026-04-03,凌晨两点半3,"['惊悚', '恐怖']",['中国大陆'],173,https://movie.douban.com/subject/36990246/
2026-05-01,千金不换,"['剧情', '喜剧']",['中国大陆'],3076,https://movie.douban.com/subject/36918875/
2026-05-20,为我的心动买单,"['喜剧', '爱情']",['中国大陆'],1747,https://movie.douban.com/subject/37350266/
2026-05-20,错过了，遗憾吗？,"['喜剧', '爱情']",['中国大陆'],1550,https://movie.douban.com/subject/36117834/
2027-02-06,流浪地球3(上),"['科幻', '冒险', '灾难']",['中国大陆'],90245,https://movie.douban.com/subject/36212391/
